Type,Name,Serving,Unit,Protein,Carb,Fats,Calories,,,
Fats,Olive Oil ,100.00,tsp,0.00,0.00,100.00,900.00,زيت الزيتون,70,زيت
Fats,Corn Oil ,100.00,tsp,0.00,0.00,100.00,900.00,زيت الذرة,70,زيت
Fats,Butter ,100.00,gm,1.00,0.00,82.00,742.00,سمنة,71,سمنة
Fats,Peanut Butter ,100.00,gm,21.90,25.00,46.90,609.70,زبدة الفول السوداني,53,زبدة الفول السوداني
Fats,Peanut ,100.00,gm,28.03,15.26,52.50,645.66,الفول السوداني,54,الفول السوداني
Fats,Almond ,100.00,gm,21.30,20.00,51.00,624.20,لوز,55,لوز
Fats,Almond milk ,100.00,gm,0.60,0.60,1.50,18.30,حليب لوز,12,حليب اللوز
Fats,Pistachio,100.00,gm,20.61,27.97,44.44,594.28,فستق,56,فستق
Fats,Cashew ,100.00,gm,18.22,30.19,43.85,588.29,كاجو,57,كاجو
Fats,Avocado,100.00,gm,1.33,8.00,16.00,181.32,أفوكادو,58,أفوكادو
